樣區編號,樣點代號,縣市,樣區名稱,樣區樣點編號,X.67,Y.67,X.97,Y.97,X_經度(度分秒),Y_緯度(度分秒),X_經度,Y_緯度,備註,環境特徵描述
A01-01,1,新北市,台北縣真武寶殿,A01-01-01,304194,2789837,304194,2789827,"121°32'16.20""","25°12'58.13""",121.53783,25.21615,,
A01-01,2,新北市,台北縣真武寶殿,A01-01-02,304079,2790080,304079,2790071,"121°32'12.12""","25°13'06.07""",121.53670,25.21835,,
A01-01,3,新北市,台北縣真武寶殿,A01-01-03,304343,2790060,304343,2790051,"121°32'21.55""","25°13'05.39""",121.53932,25.21816,,
A01-01,4,新北市,台北縣真武寶殿,A01-01-04,304249,2790279,304248,2790270,"121°32'18.19""","25°13'12.51""",121.53839,25.22014,,
A01-01,5,新北市,台北縣真武寶殿,A01-01-05,304077,2790437,304076,2790427,"121°32'12.10""","25°13'17.64""",121.53669,25.22157,,
A01-01,6,新北市,台北縣真武寶殿,A01-01-06,303988,2790639,303988,2790630,"121°32'08.95""","25°13'24.25""",121.53582,25.22340,,
A01-01,7,新北市,台北縣真武寶殿,A01-01-07,304653,2790845,304653,2790835,"121°32'32.74""","25°13'30.82""",121.54243,25.22523,,
A01-01,8,新北市,台北縣真武寶殿,A01-01-08,304726,2790630,304726,2790620,"121°32'35.32""","25°13'23.86""",121.54314,25.22329,,
A01-01,9,新北市,台北縣真武寶殿,A01-01-09,304783,2790435,304783,2790426,"121°32'37.33""","25°13'17.52""",121.54370,25.22153,,
A01-01,10,新北市,台北縣真武寶殿,A01-01-10,305007,2790514,305007,2790504,"121°32'45.34""","25°13'20.02""",121.54593,25.22223,,
A01-02,1,台北市,台北市溪股農場,A01-02-01,307796,2786378,307796,2786369,"121°34'24.36""","25°11'05.26""",121.57343,25.18479,,
A01-02,2,台北市,台北市溪股農場,A01-02-02,307957,2786711,307957,2786702,"121°34'30.15""","25°11'16.03""",121.57504,25.18779,,
A01-02,3,台北市,台北市溪股農場,A01-02-03,307775,2786563,307775,2786553,"121°34'23.63""","25°11'11.24""",121.57323,25.18646,,
A01-02,4,台北市,台北市溪股農場,A01-02-04,307517,2786638,307516,2786629,"121°34'14.43""","25°11'13.75""",121.57067,25.18715,,
A01-02,5,台北市,台北市溪股農場,A01-02-05,307610,2786866,307610,2786856,"121°34'17.79""","25°11'21.11""",121.57161,25.18920,,
A01-02,6,台北市,台北市溪股農場,A01-02-06,307684,2787068,307684,2787058,"121°34'20.46""","25°11'27.66""",121.57235,25.19102,,
A01-02,7,台北市,台北市溪股農場,A01-02-07,307473,2786966,307473,2786956,"121°34'12.91""","25°11'24.38""",121.57025,25.19011,,
A01-02,8,台北市,台北市溪股農場,A01-02-08,307333,2787123,307333,2787113,"121°34'07.93""","25°11'29.50""",121.56887,25.19153,,
A01-02,9,台北市,台北市溪股農場,A01-02-09,307315,2786802,307315,2786792,"121°34'07.24""","25°11'19.07""",121.56868,25.18863,,
A01-02,10,台北市,台北市溪股農場,A01-02-10,307295,2786575,307295,2786566,"121°34'06.49""","25°11'11.73""",121.56847,25.18659,,
A01-03,1,新北市,乾華國小,A01-03-01,309584,2795569,309584,2795559,"121°35'29.67""","25°16'03.68""",121.59157,25.26769,,
A01-03,2,新北市,乾華國小,A01-03-02,309586,2795320,309586,2795310,"121°35'29.70""","25°15'55.57""",121.59158,25.26544,,
A01-03,3,新北市,乾華國小,A01-03-03,309485,2795100,309485,2795090,"121°35'26.05""","25°15'48.45""",121.59057,25.26346,,
A01-03,4,新北市,乾華國小,A01-03-04,309451,2794883,309451,2794873,"121°35'24.78""","25°15'41.39""",121.59022,25.26150,,
A01-03,5,新北市,乾華國小,A01-03-05,309357,2795396,309357,2795387,"121°35'21.52""","25°15'58.09""",121.58931,25.26614,,
A01-03,6,新北市,乾華國小,A01-03-06,309383,2795654,309383,2795645,"121°35'22.48""","25°16'06.48""",121.58958,25.26847,,
A01-03,7,新北市,乾華國小,A01-03-07,309534,2795849,309534,2795839,"121°35'27.94""","25°16'12.81""",121.59109,25.27022,,
A01-03,8,新北市,乾華國小,A01-03-08,309761,2795747,309761,2795737,"121°35'36.02""","25°16'09.43""",121.59334,25.26929,,
A01-03,9,新北市,乾華國小,A01-03-09,309951,2795565,309950,2795555,"121°35'42.77""","25°16'03.50""",121.59521,25.26764,,
A01-05,1,基隆市,天添財農場(東勢上股),A01-05-01,318490,2782165,318490,2782156,"121°40'45.54""","25°08'46.72""",121.67932,25.14631,,
A01-05,2,基隆市,天添財農場(東勢上股),A01-05-02,318395,2781995,318395,2781986,"121°40'42.12""","25°08'41.21""",121.67837,25.14478,,
A01-05,3,基隆市,天添財農場(東勢上股),A01-05-03,318396,2781689,318396,2781679,"121°40'42.10""","25°08'31.24""",121.67836,25.14201,,
A01-05,4,基隆市,天添財農場(東勢上股),A01-05-04,318452,2781477,318451,2781468,"121°40'44.03""","25°08'24.37""",121.67890,25.14010,,
A01-05,5,基隆市,天添財農場(東勢上股),A01-05-05,318690,2781376,318690,2781366,"121°40'52.54""","25°08'21.02""",121.68126,25.13917,,
A01-05,6,基隆市,天添財農場(東勢上股),A01-05-06,318709,2781791,318709,2781781,"121°40'53.30""","25°08'34.50""",121.68147,25.14292,,
A01-05,7,基隆市,天添財農場(東勢上股),A01-05-07,318878,2781847,318878,2781838,"121°40'59.34""","25°08'36.32""",121.68315,25.14342,,
A01-05,8,基隆市,天添財農場(東勢上股),A01-05-08,319172,2781660,319171,2781651,"121°41'09.77""","25°08'30.20""",121.68605,25.14172,,
A01-05,9,基隆市,天添財農場(東勢上股),A01-05-09,319549,2781651,319548,2781642,"121°41'23.23""","25°08'29.84""",121.68979,25.14162,,
A01-05,10,基隆市,天添財農場(東勢上股),A01-05-10,319604,2781885,319604,2781876,"121°41'25.27""","25°08'37.44""",121.69035,25.14373,,
A01-07,1,基隆市,和平島公園,A01-07-01,326872,2783749,326872,2783739,"121°45'45.14""","25°09'36.71""",121.76254,25.16020,,
A01-07,2,基隆市,和平島公園,A01-07-02,326894,2783910,326893,2783900,"121°45'45.92""","25°09'41.94""",121.76276,25.16165,,
A01-07,3,基隆市,和平島公園,A01-07-03,327063,2783979,327062,2783970,"121°45'51.97""","25°09'44.18""",121.76444,25.16227,,
A01-07,4,基隆市,和平島公園,A01-07-04,327154,2784041,327154,2784031,"121°45'55.27""","25°09'46.15""",121.76535,25.16282,,
A01-07,5,基隆市,和平島公園,A01-07-05,327165,2783899,327165,2783889,"121°45'55.63""","25°09'41.56""",121.76545,25.16154,,
A01-07,11,基隆市,和平島公園,A01-07-11,327098,2783697,327097,2783687,"121°45'53.17""","25°09'34.99""",121.76477,25.15972,,
A01-07,12,基隆市,和平島公園,A01-07-12,326553,2783858,326553,2783848,"121°45'33.77""","25°09'40.32""",121.75938,25.16120,,
A01-08,1,基隆市,八斗子濱海公園,A01-08-01,330770,2782220,330770,2782210,"121°48'04.00""","25°08'46.29""",121.80111,25.14619,,
A01-08,2,基隆市,八斗子濱海公園,A01-08-02,330727,2782215,330726,2782205,"121°48'02.43""","25°08'46.13""",121.80068,25.14615,,
A01-08,3,基隆市,八斗子濱海公園,A01-08-03,330604,2782171,330604,2782161,"121°47'58.07""","25°08'44.73""",121.79946,25.14576,,
A01-08,4,基隆市,八斗子濱海公園,A01-08-04,330527,2782093,330527,2782083,"121°47'55.30""","25°08'42.21""",121.79869,25.14506,,
A01-08,5,基隆市,八斗子濱海公園,A01-08-05,330524,2782133,330523,2782123,"121°47'55.17""","25°08'43.51""",121.79866,25.14542,,
A01-08,6,基隆市,八斗子濱海公園,A01-08-06,330384,2782234,330384,2782224,"121°47'50.22""","25°08'46.82""",121.79728,25.14634,,
A01-08,7,基隆市,八斗子濱海公園,A01-08-07,330306,2782282,330306,2782273,"121°47'47.45""","25°08'48.42""",121.79651,25.14678,,
A01-08,8,基隆市,八斗子濱海公園,A01-08-08,330437,2782088,330437,2782078,"121°47'52.09""","25°08'42.06""",121.79780,25.14502,,
A01-08,9,基隆市,八斗子濱海公園,A01-08-09,330517,2782083,330517,2782073,"121°47'54.94""","25°08'41.91""",121.79859,25.14497,,
A01-08,10,基隆市,八斗子濱海公園,A01-08-10,330663,2781942,330663,2781932,"121°48'00.12""","25°08'37.30""",121.80003,25.14369,,
A01-09,1,新北市,麟山鼻,A01-09-01,301516,2797566,301516,2797556,"121°30'41.58""","25°17'09.66""",121.51155,25.28602,,
A01-09,2,新北市,麟山鼻,A01-09-02,301520,2797782,301519,2797773,"121°30'41.72""","25°17'16.70""",121.51159,25.28797,,
