REMOVE,BBS_NAME,CODES,CN,EN,SN
,灰雁,"GRGO,ANAN",灰雁,Graylag Goose,Anser anser
,灰雁(馴化),"GRGO,ANAN",灰雁(馴化),Graylag Goose (Domestic type),Anser anser (Domestic type)
,鴻雁,"SWGO,ANCY",鴻雁,Swan Goose,Anser cygnoides
,鴻雁(馴化),"SWGO,ANCY",鴻雁(馴化),Swan Goose (Domestic type),Anser cygnoides (Domestic type)
,白額雁,"GWFG,ANAL",白額雁,Greater White-fronted Goose,Anser albifrons
,小白額雁,"LWFG,ANER",小白額雁,Lesser White-fronted Goose,Anser erythropus
X,白額雁/小白額雁,"GWFG,LWFG,ANER,ANAL",白額雁/小白額雁,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
,寒林豆雁,"TABG,TBGO,ANFA",寒林豆雁,Taiga Bean-Goose,Anser fabalis
,凍原豆雁,"TUBG,TBGO,ANSE",凍原豆雁,Tundra Bean-Goose,Anser serrirostris
,寒林/凍原豆雁,"TABG,TUBG,TBGO,ANSE,ANFA",寒林/凍原豆雁,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
,家鵝(馴化),DGSP,家鵝(馴化),Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
,雁屬(XX雁),,雁屬,Anser sp.,Anser sp.
X,雁類(XX雁),UNGO,雁類,goose sp.,Anser/Branta sp.
,黑天鵝,"BLSW,CYAT",黑天鵝,Black Swan,Cygnus atratus
,小天鵝,"TUSW,BESW,CYCO",小天鵝,Tundra Swan,Cygnus columbianus
,黃嘴天鵝,"WHOS,WHSW,CYCY",黃嘴天鵝,Whooper Swan,Cygnus cygnus
X,小/黃嘴天鵝,"BESW,TUSW,WHOS,WHSW,CYCO,CYCY",小/黃嘴天鵝,Tundra/Whooper Swan,Cygnus columbianus/cygnus
,天鵝屬(XX天鵝),,天鵝屬,swan sp.,Cygnus sp.
,瀆鳧,"RUSH,TAFE",瀆鳧,Ruddy Shelduck,Tadorna ferruginea
,花鳧,"COMS,COSH,TATA",花鳧,Common Shelduck,Tadorna tadorna
,疣鼻棲鴨(薑母鴨)(馴化),"MUDU,CAMO",疣鼻棲鴨(薑母鴨)(馴化),Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
,棉鴨,"COPG,CPGO,NECO",棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus
,鴛鴦,"MADU,AIGA",鴛鴦,Mandarin Duck,Aix galericulata
,巴鴨,"BATE,SIFO",巴鴨,Baikal Teal,Sibirionetta formosa
,白眉鴨,"GARG,SPQU",白眉鴨,Garganey,Spatula querquedula
,琵嘴鴨,"NSHO,KOMO,NOSH,SPCL",琵嘴鴨,Northern Shoveler,Spatula clypeata
,赤膀鴨,"GADW,MAST",赤膀鴨,Gadwall,Mareca strepera
,羅文鴨,"FADU,MAFA",羅文鴨,Falcated Duck,Mareca falcata
,赤頸鴨,"EUWI,MAPE",赤頸鴨,Eurasian Wigeon,Mareca penelope
,葡萄胸鴨,"AMWI,MAAM",葡萄胸鴨,American Wigeon,Mareca americana
,花嘴鴨,"ESBD,ANZO",花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha
,綠頭鴨,"MALL,ANPL",綠頭鴨,Mallard,Anas platyrhynchos
,綠頭鴨(馴化),"MALL,ANPL",綠頭鴨(馴化),Mallard (Domestic type),Anas platyrhynchos (Domestic type)
,尖尾鴨,"NOPI,KOMA,ANAC",尖尾鴨,Northern Pintail,Anas acuta
,小水鴨,"GWTE,EUTE,EGWT,EWTE,ANCR",小水鴨,Green-winged Teal,Anas crecca
X,白眉鴨/小水鴨,"GWTE,EUTE,EWTE,GARG,EGWT,ANCR,SPQU",白眉鴨/小水鴨,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
,鴨屬(XX鴨),,鴨屬,Anas sp.,Anas sp.
,紅頭潛鴨,"COMP,COPO,AYFE",紅頭潛鴨,Common Pochard,Aythya ferina
,白眼潛鴨,"FEDU,AYNY",白眼潛鴨,Ferruginous Duck,Aythya nyroca
,青頭潛鴨,"BAPO,AYBA",青頭潛鴨,Baer's Pochard,Aythya baeri
X,白眼/青頭潛鴨,"FEDU,BAPO,AYBA,AYNY",白眼/青頭潛鴨,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri
,鳳頭潛鴨,"TUDU,AYFU",鳳頭潛鴨,Tufted Duck,Aythya fuligula
,斑背潛鴨,"GRSC,AYMA",斑背潛鴨,Greater Scaup,Aythya marila
,潛鴨屬(XX潛鴨),,潛鴨屬,Aythya sp.,Aythya sp.
,白秋沙,"SMEW,MEAL",白秋沙,Smew,Mergellus albellus
,川秋沙,"COME,GOOS,MEME",川秋沙,Common Merganser,Mergus merganser
,紅胸秋沙,"RBME,MESE",紅胸秋沙,Red-breasted Merganser,Mergus serrator
