bbsname,cname,ename,sname,shortname
灰雁,灰雁,Graylag Goose,Anser anser,"GRGO,ANAN"
灰雁(馴化),灰雁(馴化),Graylag Goose (Domestic type),Anser anser (Domestic type),"GRGO,ANAN"
鴻雁,鴻雁,Swan Goose,Anser cygnoides,"SWGO,ANCY"
鴻雁(馴化),鴻雁(馴化),Swan Goose (Domestic type),Anser cygnoides (Domestic type),"SWGO,ANCY"
白額雁,白額雁,Greater White-fronted Goose,Anser albifrons,"GWFG,ANAL"
小白額雁,小白額雁,Lesser White-fronted Goose,Anser erythropus,"LWFG,ANER"
白額雁/小白額雁,白額雁/小白額雁,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,
寒林豆雁,寒林豆雁,Taiga Bean-Goose,Anser fabalis,"TABG,TBGO,ANFA"
凍原豆雁,凍原豆雁,Tundra Bean-Goose,Anser serrirostris,"TUBG,TBGO,ANSE"
寒林/凍原豆雁,寒林/凍原豆雁,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,"TABG,TUBG,TBGO,ANSE,ANFA"
家鵝(馴化),家鵝(馴化),Domestic goose sp. (Domestic type),Anser sp. (Domestic type),DGSP
雁屬(XX雁),雁屬,Anser sp.,Anser sp.,
雁類(XX雁),雁類,goose sp.,Anser/Branta sp.,
黑天鵝,黑天鵝,Black Swan,Cygnus atratus,"BLSW,CYAT"
小天鵝,小天鵝,Tundra Swan,Cygnus columbianus,"TUSW,BESW,CYCO"
黃嘴天鵝,黃嘴天鵝,Whooper Swan,Cygnus cygnus,"WHOS,WHSW,CYCY"
小/黃嘴天鵝,小/黃嘴天鵝,Tundra/Whooper Swan,Cygnus columbianus/cygnus,
天鵝屬(XX天鵝),天鵝屬,swan sp.,Cygnus sp.,
瀆鳧,瀆鳧,Ruddy Shelduck,Tadorna ferruginea,"RUSH,TAFE"
花鳧,花鳧,Common Shelduck,Tadorna tadorna,"COMS,COSH,TATA"
疣鼻棲鴨(薑母鴨)(馴化),疣鼻棲鴨(薑母鴨)(馴化),Muscovy Duck (Domestic type),Cairina moschata (Domestic type),"MUDU,CAMO"
