id,fid,cname,ename,sname,shortname
1,1,樹鴨,Lesser Whistling-Duck,Dendrocygna javanica,"LWDU,DEJA"
2,1,灰雁,Graylag Goose,Anser anser,"GRGO,ANAN"
3,1,鴻雁,Swan Goose,Anser cygnoides,"SWGO,ANCY"
4,1,白額雁,Greater White-fronted Goose,Anser albifrons,"GWFG,ANAL"
5,1,小白額雁,Lesser White-fronted Goose,Anser erythropus,"LWFG,ANER"
6,1,寒林豆雁,Taiga Bean-Goose,Anser fabalis,"TABG,TBGO,ANFA"
7,1,凍原豆雁,Tundra Bean-Goose,Anser serrirostris,"TUBG,TBGO,ANSE"
8,1,黑雁,Brant,Branta bernicla,"BRAN,BRBE"
9,1,疣鼻天鵝,Mute Swan,Cygnus olor,"MUSW,CYOL"
10,1,小天鵝,Tundra Swan,Cygnus columbianus,"TUSW,BESW,CYCO"
11,1,黃嘴天鵝,Whooper Swan,Cygnus cygnus,"WHOS,WHSW,CYCY"
12,1,瀆鳧,Ruddy Shelduck,Tadorna ferruginea,"RUSH,TAFE"
13,1,花鳧,Common Shelduck,Tadorna tadorna,"COMS,COSH,TATA"
14,1,棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus,"COPG,CPGO,NECO"
15,1,鴛鴦,Mandarin Duck,Aix galericulata,"MADU,AIGA"
16,1,巴鴨,Baikal Teal,Sibirionetta formosa,"BATE,SIFO"
17,1,白眉鴨,Garganey,Spatula querquedula,"GARG,SPQU"
18,1,琵嘴鴨,Northern Shoveler,Spatula clypeata,"NSHO,KOMO,NOSH,SPCL"
19,1,赤膀鴨,Gadwall,Mareca strepera,"GADW,MAST"
20,1,羅文鴨,Falcated Duck,Mareca falcata,"FADU,MAFA"
21,1,赤頸鴨,Eurasian Wigeon,Mareca penelope,"EUWI,MAPE"
22,1,葡萄胸鴨,American Wigeon,Mareca americana,"AMWI,MAAM"
23,1,呂宋鴨,Philippine Duck,Anas luzonica,"PHDU,ANLU"
24,1,花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha,"ESBD,ANZO"
25,1,綠頭鴨,Mallard,Anas platyrhynchos,"MALL,ANPL"
26,1,尖尾鴨,Northern Pintail,Anas acuta,"NOPI,KOMA,ANAC"
27,1,小水鴨,Green-winged Teal,Anas crecca,"GWTE,EUTE,EGWT,EWTE,ANCR"
28,1,赤嘴潛鴨,Red-crested Pochard,Netta rufina,"RCPO,NERU"
29,1,帆背潛鴨,Canvasback,Aythya valisineria,"CANV,AYVA"
30,1,紅頭潛鴨,Common Pochard,Aythya ferina,"COMP,COPO,AYFE"
31,1,環頸潛鴨,Ring-necked Duck,Aythya collaris,"RNDU,AYCO"
32,1,白眼潛鴨,Ferruginous Duck,Aythya nyroca,"FEDU,AYNY"
33,1,青頭潛鴨,Baer's Pochard,Aythya baeri,"BAPO,AYBA"
34,1,鳳頭潛鴨,Tufted Duck,Aythya fuligula,"TUDU,AYFU"
35,1,斑背潛鴨,Greater Scaup,Aythya marila,"GRSC,AYMA"
36,1,小斑背潛鴨,Lesser Scaup,Aythya affinis,"LESC,AYAF"
37,1,長尾鴨,Long-tailed Duck,Clangula hyemalis,"LTDU,CLHY"
38,1,鵲鴨,Common Goldeneye,Bucephala clangula,"COGO,BUCL"
39,1,白秋沙,Smew,Mergellus albellus,"SMEW,MEAL"
40,1,川秋沙,Common Merganser,Mergus merganser,"COME,GOOS,MEME"
41,1,紅胸秋沙,Red-breasted Merganser,Mergus serrator,"RBME,MESE"
42,1,唐秋沙,Scaly-sided Merganser,Mergus squamatus,"SSME,MESQ"
43,2,台灣山鷓鴣,Taiwan Partridge,Arborophila crudigularis,"TAPA,ARCR"
44,2,藍孔雀,Indian Peafowl,Pavo cristatus,"INPE,PACR"
45,2,小鵪鶉,Blue-breasted Quail,Synoicus chinensis,"KIQU,BBQU,SYCH"
46,2,鵪鶉,Japanese Quail,Coturnix japonica,"JAQU,COJA"
47,2,台灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox,"TABP,TBPA,BASO"
48,2,黑長尾雉,Mikado Pheasant,Syrmaticus mikado,"MIPH,SYMI"
49,2,環頸雉,Ring-necked Pheasant,Phasianus colchicus,"RNEP,RNPH,COPH,PHCO"
50,2,藍腹鷴,Swinhoe's Pheasant,Lophura swinhoii,"SWPH,LOSW"
51,3,小鸊鷉,Little Grebe,Tachybaptus ruficollis,"LIGR,TARU"
52,3,角鸊鷉,Horned Grebe,Podiceps auritus,"HOGR,POAU"
53,3,赤頸鸊鷉,Red-necked Grebe,Podiceps grisegena,"RNGR,POGR"
54,3,冠鸊鷉,Great Crested Grebe,Podiceps cristatus,"GCGR,POCR"
55,3,黑頸鸊鷉,Eared Grebe,Podiceps nigricollis,"EAGR,BNGR,PONI"
56,4,野鴿,Rock Pigeon,Columba livia,"ROPI,COLI"
57,4,灰林鴿,Ashy Wood-Pigeon,Columba pulchricollis,"ASWP,AWPI,COPU"
58,4,黑林鴿,Japanese Wood-Pigeon,Columba janthina,"JWPI,JAWP,COJA"
59,4,白喉林鴿,Metallic Pigeon ,Columba vitiensis,"MP,COVI"
60,4,金背鳩,Oriental Turtle-Dove,Streptopelia orientalis,"ORTD,OTDO,RTDO,STOR"
61,4,灰斑鳩,Eurasian Collared-Dove,Streptopelia decaocto,"EUCD,CODO,ECDO,STDE"
62,4,紅鳩,Red Collared-Dove,Streptopelia tranquebarica,"RCDO,RECD,RTDO,STTR"
63,4,珠頸斑鳩,Spotted Dove,Streptopelia chinensis,"SPDO,STCH"
64,4,斑尾鵑鳩,Barred Cuckoo-Dove,Macropygia unchall,"BACD,BCDO,MAUN"
65,4,長尾鳩,Philippine Cuckoo-Dove,Macropygia tenuirostris,"PHCD,PCDO,MATE"
66,4,翠翼鳩,Asian Emerald Dove,Chalcophaps indica,"AEDO,CEDO,CHIN"
67,4,橙胸綠鳩,Orange-breasted Green-Pigeon,Treron bicinctus,"OBGP,TRBI"
68,4,厚嘴綠鳩,Thick-billed Green-Pigeon,Treron curvirostra,"TBGP,TRCU"
69,4,綠鳩,White-bellied Green-Pigeon,Treron sieboldii,"WBPI,WBGP,TRSI"
70,4,紅頭綠鳩,Whistling Green-Pigeon,Treron formosae,"WGPI,WHGP,TRFO"
71,4,小綠鳩,Black-chinned Fruit-Dove,Ptilinopus leclancheri,"BCFD,PTLE"
72,5,褐翅鴉鵑,Greater Coucal,Centropus sinensis,"GRCO,CESI"
73,5,番鵑,Lesser Coucal,Centropus bengalensis,"LECO,CEBE"
74,5,冠郭公,Chestnut-winged Cuckoo,Clamator coromandus,"CWCU,CLCO"
75,5,斑翅鳳頭鵑,Pied Cuckoo,Clamator jacobinus,"PICU,JACU,CLJA"
76,5,噪鵑,Asian Koel,Eudynamys scolopaceus,"ASKO,EUSC"
77,5,八聲杜鵑,Plaintive Cuckoo,Cacomantis merulinus,"PLCU,CAME"
78,5,方尾烏鵑,Square-tailed Drongo-Cuckoo,Surniculus lugubris,"STDC,SULU"
79,5,鷹鵑,Large Hawk-Cuckoo,Hierococcyx sparverioides,"LHCU,LAHC,HISP"
80,5,北方鷹鵑,Northern Hawk-Cuckoo,Hierococcyx hyperythrus,"NHCU,NOHC,RUHC,RHCU,HIHY"
81,5,棕腹鷹鵑,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,"HOHC,HHCU,HINI"
82,5,小杜鵑,Lesser Cuckoo,Cuculus poliocephalus,"LECU,CUPO"
83,5,四聲杜鵑,Indian Cuckoo,Cuculus micropterus,"INCU,CUMI"
84,5,大杜鵑,Common Cuckoo,Cuculus canorus,"COCU,CUCA"
85,5,北方中杜鵑,Oriental Cuckoo,Cuculus optatus,"ORCU,CUOP"
86,6,普通夜鷹,Gray Nightjar,Caprimulgus jotaka,"GRNI,CAJO"
87,6,南亞夜鷹,Savanna Nightjar,Caprimulgus affinis,"SANI,CAAF"
88,7,白喉針尾雨燕,White-throated Needletail,Hirundapus caudacutus,"WTNE,HICA"
89,7,灰喉針尾雨燕,Silver-backed Needletail,Hirundapus cochinchinensis,"SBNE,HICO"
90,7,紫針尾雨燕,Purple Needletail,Hirundapus celebensis,"PUNE,HICE"
91,7,短嘴金絲燕,Himalayan Swiftlet,Aerodramus brevirostris,"HISW,AEBR"
92,7,叉尾雨燕,Pacific Swift,Apus pacificus,"FTSW,PASW,APPA"
93,7,小雨燕,House Swift,Apus nipalensis,"HOSW,APNI"
94,8,西方秧雞,Water Rail,Rallus aquaticus,"WEWR,WARA,RAAQ"
95,8,東亞秧雞,Brown-cheeked Rail,Rallus indicus,"BCRA,RAIN"
96,8,灰胸秧雞,Slaty-breasted Rail,Lewinia striata,"SBRA,LEST"
97,8,斑胸秧雞,Spotted Crake,Porzana porzana,"SPCR,POPO"
98,8,紅冠水雞,Eurasian Moorhen,Gallinula chloropus,"COMO,EUMO,GACH"
99,8,白冠雞,Eurasian Coot,Fulica atra,"EUCO,FUAT"
100,8,灰頭紫水雞,Gray-headed Swamphen,Porphyrio poliocephalus,"GHSW,POPO"
