fid,name
1,雁鴨科
2,雉科
3,鸊鷉科
4,鳩鴿科
5,杜鵑科
6,夜鷹科
7,雨燕科
8,秧雞科
9,鶴科
10,長腳鷸科
11,蠣鷸科
12,鴴科
13,彩鷸科
14,水雉科
15,鷸科
16,三趾鶉科
17,燕鴴科
18,賊鷗科
19,海雀科
20,鷗科
21,熱帶鳥科
22,潛鳥科
23,信天翁科
24,海燕科
25,鸌科
26,鸛科
27,軍艦鳥科
28,鰹鳥科
29,鸕鷀科
30,鵜鶘科
31,鷺科
32,䴉科
33,鶚科
34,鷹科
35,草鴞科
36,鴟鴞科
37,戴勝科
38,翠鳥科
39,蜂虎科
40,佛法僧科
41,鬚鴷科
42,啄木鳥科
43,隼科
44,八色鳥科
45,山椒鳥科
46,綠鵙科
47,黃鸝科
48,卷尾科
49,王鶲科
50,伯勞科
51,鴉科
52,細嘴鶲科
53,山雀科
54,攀雀科
55,百靈科
56,扇尾鶯科
57,葦鶯科
58,蝗鶯科
59,鷦眉科
60,燕科
61,鵯科
62,柳鶯科
63,樹鶯科
64,長尾山雀科
65,鶯科
66,繡眼科
67,畫眉科
68,雀眉科
69,噪眉科
70,戴菊科
71,鳾科
72,鷦鷯科
73,河烏科
74,八哥科
75,鶇科
76,鶲科
77,連雀科
78,啄花科
79,吸蜜鳥科
80,梅花雀科
81,岩鷚科
82,麻雀科
83,鶺鴒科
84,雀科
85,鐵爪鵐科
86,鵐科
87,雀鵐科
88,紅鶴科
89,燕鵙科
90,鳳頭鸚鵡科
91,鸚鵡科
92,織布鳥科
