pid,bird
A01-01,"449,498,47,346,447,278,439,502,63,572,377,499,496,392,625,274,501,56,294,542,543,369,282,500,375,391,291,306,301,93,618,372,359,60,474,416,530,271,620,312"
A01-02,"499,576,500,346,47,502,85,375,449,447,543,501,294,496,542,498,377,392,391,306,372,56,93,572,618,369,620,60,69,333,483,464,92,263,309,439,274,482"
A01-03,"499,449,47,391,483,496,392,56,279,393,447,306,346,294,498,274,268,62,377,500,73,372,572,301,307,440,416,592,502,575,618,60,669,415,530,501,439,63,333,482"
A01-05,"391,449,498,502,47,543,501,572,392,499,500,306,309,496,447,369,554,346,456,294,62,69,60,63,618,439,56,312,377,453,507"
A01-07,"439,447,272,499,498,416,592,333,169,625,594,483,449,543,289,127,620,171,274,294,496,618,47,393,62,270,271,223,203,265,126,530,415,392,312,257,384,63,268,528,490,129,523,482"
A01-08,"372,447,415,499,346,449,496,272,333,271,594,47"
A01-12,"483,449,447,575,577,377,496,543,542,169,271,415,312,592,499,393,618,439,56,355,666,351,203,257,474,24,416,272,594,392,453,63,171,267,505,440,265,62,378,456,581,498,60,270,279,372,530,625,669,460,672,289,418,346,528,482"
A02-01,"502,415,490,499,447,416,449,486,498,47,346,392,92,500,294,417,612,496,312,372,391,62,501,414,309,618,369,63,377,440,306,271,575,620,73,572,345,418,530,669,483,474,85,93,60,439,576,543,453,592,274,384,480,290,482"
A02-02,"498,449,415,447,499,612,372,417,416,618,501,392,414,47,490,62,310,500,346,294,496,63,611,85,306,377,369,502,391,60,282"
A02-03,"499,498,500,372,449,447,62,501,346,416,392,496,612,415,391,414,47,369,572,618,490,502,620,271,294,377,63,309,308,417,440,625,102,333,576,399,375,66,282"
A02-05,"501,449,572,375,499,500,404,498,502,453,369,346,43,391,447,416,392,47,348,60,399,377,359,496,507"
A02-06,"612,543,496,498,47,447,575,391,129,392,268,622,309,274,170,572,669,415,416,98,449,24,102,306,499,377,178,150,271,625,440,27,173,117,312,63,632,636,439,163,546,620,169,542,267,177,17,92,265,372,346,437,500,530,279,528,333,85,123,73,442,276,505"
A02-07,"572,169,440,333,530,447,391,312,499,47,294,392,346,474,496,267,620,271,618,449,498,500,24,274,502,279,439,63,501,625"
A02-08,"447,572,56,439,496,346,294,499,47,501,392,589,620,502,50,500,306,312,274,391,449,618,498,416,372,440,530"
A03-01,"415,279,51,267,271,265,447,669,62,102,372,575,85,386,483,499,530,542,496,416,93,439,393,377,63,47,24,618,490,622,203,124,274,449,450,98,174,163,384,257,178,27,268,413,289,355,288,126,60,73,218,214,613,612,440,129,528,131,169,223,392,219,502,620,17,136,133,333,592,594,99,26,21,34,18,177,179,66,346,105,150,125,171,139,437,140,166,152,141,144,148,438,117,196,543,474,456,270,611,143,303,625,378,120,259,261,306,526,216,222,220,221,137,418,138,527,284,170,546,351,332,676,3,626,19,151,290,263,266,118,427,56,167,206,634,147,431,317,505,417,498,421,531,87,92,132,135,304,482"
A03-03,"447,439,618,392,62,496,56,372,63,271,279,449,416,102,530,268,528,612,282,516,265,274,499,351,393,98,24"
A03-07,"447,63,618,24,117,439,98,267,372,530,594,174,268,271,531,102,415,279,62,449,51,265,60,440,177,274,219,386,178,620,125,528,496,384,99,27,18,332,284"
A03-09,"618,416,498,499,43,483,572,267,415,372,447,449,346,47,439,27,24,496,502,271,377,369,500,56,542,440,274,63,530,528,279,357,73,98,594,442,93,611,625,543,268,294,482"
A03-10,"483,447,496,294,500,43,592,499,63,498,47,377,348,449,369,543,625,618,620,572,439,346,392,73,357,416,440,66,359,372,510,384,530,274,271,482"
A03-16,"346,377,24,447,439,309,449,47,98,51,391,625,500,502,618,372,274,279,271,62,375,498,371,392,294,359,496,265,333,93,499,501,102,268,528,63,56,73,34,543,43,312"
A03-18,"439,447,496,261,263,62,63,528,618,56,372,493,375,440,271,625,530,449,282,279,392,274,393,523,612,87,592"
A03-19,"439,496,279,56,372,447,449,543,271,102,393,63,7,392,265,618,530,274,98,528,612,47,268,622,375,541,546,483,499,542,384,415,386,625,416,548,346,482,6"
A03-20,"447,496,24,129,102,530,439,618,449,622,279,178,531,174,267,271,169,416,163,98,265,63,131,274,528,372,268,543,440,499,126,392,437,85,263,117,417,415,62,612,620,148,177,634,82,73,56,333,47,386,121,483,482"
A03-21,"372,447,98,265,543,63,449,51,279,618,267,93,271,274,102,439,346,24,496,392,384,528,282,622,413,453,377,56,333,416,612,613,611,62,85,530,437,129,25,625,542,60,440,529,92,386,483,474,306,620,499,268,418,442,555,415,482"
A03-22,"294,447,274,589,47,377,346,449,496,498,392,372,499,500,625,594,439,129,363,572,271,502,63,85,501,279,622,375,592"
A03-23,"618,63,265,622,98,372,449,518,531,447,439,257,271,496,102,178,62,440,612,24,274,177,528,416,386"
A04-01,"346,498,502,377,369,449,306,447,499,572,543,47,500,496,294,669,392,632,391,501,309,439,60,620,604,493,43,404,274,271"
A04-02,"500,271,502,377,346,499,359,375,447,449,498,47,85,632,392,496,63,501,93,589,391,399,333,43,102,625,274,294,372,369,404,371,69,325,348,572,622,384,517,60,416,543,508,291,92,279,620,306,439,440,592,282,320"
A04-03,"449,56,392,498,93,439,500,346,372,501,375,502,543,47,309,499,447,359,391,369,92,576,43,294,510,399,85,496,320,384,306,572,486,274,325,404,474,669,371"
A04-04,"449,501,502,346,391,572,499,369,500,498,542,532,47,392,447,483,377,496,306,294,505,415,439,484,482"
A04-05,"499,346,502,498,47,449,447,294,377,500,369,391,480,501,542,483,392,496,453,532,282,309,572,306,474,73,505,482"
A04-06,"498,294,483,572,377,392,496,56,93,346,271,622,620,669,501,499,333,449,447,47,500,391,543,98,306,502,415,63,369,589,439,279,274,60,309,611,372,69,505,265,105,530,85,542,482"
A04-09,"393,63,618,447,496,439,530,528,62,56,449,282,543,554,392,274,346,453,372,265,384,98,518"
A04-10,"372,447,528,620,618,393,496,625,56,346,498,47,392,377,449,439,63,604,499,294,530,271,391,69,60,279,572,62,399,501,500"
A04-11,"499,501,572,447,279,449,498,391,169,271,333,47,589,500,399,346,294,377,392,496,369,620,611,502,57,604,543,85,291"
A04-12,"499,498,449,500,346,501,572,502,47,392,404,369,391,43,440,447,496,85,399,274,294,375,604,620,359,60,69,73"
A04-16,"530,531,372,447,483,63,618,384,271,528,393,620,415,62,440,60,279,102,274,169,265,267,449,416,496,56,546,575,594,392,490,346,543,592,610,622,625,498,439,333,669,612,129,294,523,377,499,399,518,611,542,73,93,261,572,87,312,47,391,306,613,69,554,386,418,398,268,427,482"
A04-17,"499,346,392,502,449,377,447,47,501,294,372,393,69,498,391,496,63,60,500,528,85,306,62,612,543,618,531,274,611"
A04-18,"392,496,447,449,93,622,499,690,530,384,439,528,56,393,620,372,274,618,333,346,498,377,502,572,47,294,271,391,279,63,60,306,309,625,416,440,531,284,500,592,268,62,370,282,523,308"
A04-19,"377,502,499,449,346,447,496,543,294,498,369,392,474,391,47,500,372,439,572,532,63,274,505,501,620,56,321,306,555,530,60,528,271"
A04-20,"502,447,449,392,499,576,483,496,543,346,377,47,369,282,498,618,62,484,439,501,56,416,106,415,294,500,271,308,620,528,532,391,309,60,274,482"
A04-21,"447,543,496,449,346,392,502,499,56,306,60,498,377,611,592,63,62,618,372,47,391,294,439,271,572,528,386,501,530,274"
A04-22,"499,449,498,377,346,496,447,392,69,439,391,502,47,294,372,93,274,309,500,271,56,306,474,501,543,63,453"
A04-23,"449,499,47,532,346,496,543,392,294,447,572,500,93,439,498,502,391,453,611,604,369,483,377,575,60,348,66,542,620,393,306,62,482"
A04-24,"346,449,496,47,501,392,377,499,502,294,543,399,447,572,63,306,500,309,498,369,391,372,618,439,56,620,416,375,460,453,291,550,93,312,282,348,474,440,483,482"
A04-25,"447,439,498,496,56,346,502,449,372,499,392,377,47,369,282,294,391,592,440,618,474,393,306,543,76,63,93,399,309,284"
A04-26,"611,449,346,501,572,447,499,47,543,496,63,483,392,369,498,85,391,500,440,502,69,372,73,306,60,294,377,529,282,439,375,66,359,265,399,453,62,309,93,271,620,460,348,482"
A04-27,"63,496,618,447,572,449,392,530,620,393,439,386,499,502,56,391,92,440,528,346,274,377,611,498,62,442,372,294,518"
A04-28,"56,618,620,63,447,496,346,372,449,393,594,271,279,554,60,530,439,274,392,528,98,62,306,453,440,102,282,543,87,377,384,93,391,25"
A04-30,"447,498,346,449,439,384,392,501,271,620,372,47,391,306,499,333,496,502,369,279,63,572,500,416,415,309,98,169,267,56,268,294,276,291,274,377,69,625,612,102,60,618,375,530,265,393,440,622,611,62,604,531,386,523"
A04-31,"63,449,447,346,60,618,56,393,496,543,440,528,372,620,499,377,611,439,523,392,62,530,498,480,483,575,415,384,594,416,612,518,413,670,669,102,666,312,418,525,274,542,279,625,474,622,76,437,333,531,282,129,93,613,391,290,265,482"
A04-32,"392,391,60,496,447,449,501,102,528,333,572,543,47,500,498,377,499,502,346,620,271,294,440,372,415,369,439,279,483,274,265,594,312,320,532,169,69,589,93,306,85,482"
A04-33,"447,257,346,69,439,392,501,500,502,498,499,294,572,496,449,625,62,60,279,393,620,440,267,265,530,271,289,372,391,618,528,102,333,129,169,523,667,377,312,51,274,291,63,47,85,306,92,531,594,589,592,308,73,611,416"
A04-34,"447,496,618,377,63,439,60,346,56,449,554,392,279,98,393,282,271,309,528,372,530,25,62,625,274,523,267,333"
A04-35,"346,498,47,447,392,500,66,502,369,449,391,496,57,377,499,501,572,60,453,282,543"
A04-36,"498,502,449,47,496,391,499,346,392,447,483,377,500,501,369,453,60,543,532,93,572,348,482"
A04-37,"447,271,47,346,449,391,496,499,351,500,498,439,85,392,294,60,530,73,62,63,355"
A04-39,"500,346,498,499,447,449,392,60,47,85,502,391,274,439,507,369,572,371,43"
A04-41,"449,392,346,265,271,268,279,267,499,51,447,333,501,496,377,572,502,289,500,63,391,543,294,498,399,47,312,369,66,274,523,528,530,439,415,393,612,416,620,440,73,507,372,60,85,69,618,417,576"
A04-43,"63,393,496,618,447,439,56,392,523,98,279,271,372,62,554,274,60,282,333,449,625,530,102,346,528,375,69,384,518"
A04-44,"447,279,618,271,496,62,384,69,416,530,393,169,440,415,267,102,439,528,333,449,523,498,56,399,63,392,620,572,372,60,346,265,93,669,612,274,625,499,531,500,129,268,47,294"
A04-45,"393,279,372,271,447,265,274,392,618,56,47,440,102,530,62,333,267,129,415,416,60,51,439,528,531,499,63,449,523,625,171,169,384,612,496,93,620,346,546,294,554,592,391,669,268,399,498"
A04-46,"391,47,346,499,449,496,498,447,500,392,618,572,56,271,93,439,60,294,483,377,502,309,612,399,440,291,416,279,620,306,474,320,372,482"
A04-48,"498,447,496,620,618,499,418,62,415,271,416,333,449,56,346,530,63,613,284,417,85,372,439,279,528,60,274,392,102,98,391,490,144,612,669,414,384,393,357,73,268,265,377,542,483,543,413,93,309,440,294,523,69,622,117,51,442,306,626,531,169,174,126,437,611,554,170,502,500,178,92,592,474,47,290,99,575,482"
A04-49,"501,346,392,500,449,498,47,359,507,510,391,499,43,502,294,447,572,445,375,369,291,82,371,496,279,357,271,440,415,399,56,289,312,506,439,416,306,309,372,530,377,93,393,102,63,333,85,60,611,604,618,528,625,493,267,543,105,348,403,620,384,62,576,589,404,66,437,169"
A04-50,"447,589,449,102,572,56,279,620,294,391,346,47,496,392,271,440,333,384,528,499,63,62,60,268,625,393,483,439,530,507,312,282,372,291,265,289,169,399,309,523,498,500,306,301,611,618,93,267,178,357,355,69,501,170,444,594,274,129,531,371,482"
A04-51,"47,346,359,50,439,377,392,500,294,391,393,501,502,561,499,371,572,498,589,483,505,416,415,481,271,417,282,375,73,399,482"
A04-52,"63,496,620,447,392,56,572,294,274,169,449,333,346,98,271,279,483,393,282,528,372,625,391,440,612,542,543,592,546,267,384,93,60,47,306,69,554,530,482"
A04-53,"447,439,60,62,346,530,393,56,63,279,618,523,528,274,449,271,392,416,496,372,265,531,518,282,294,284"
A04-54,"618,530,447,393,439,528,523,449,56,279,271,531,62,346,372,496,60,392,63,274,284"
A04-55,"393,528,449,279,346,499,447,377,496,312,63,498,294,289,669,392,271,439,500,611,317,306,372,265,73,530,416,620,267,47,284,415,399,62,391,93,60,483,523,592,618,414,507,355,518,56,612,291,482"
A04-56,"447,346,572,392,618,449,47,43,391,372,85,399,530,499,496,375,63,501,312,500,271,498,359"
A04-57,"93,530,449,447,496,392,306,439,531,60,391,282,346,294,572,271,279,62,618,87,620,265,393,372,613,274,498,321,56,528,416,611,612"
A05-01,"498,391,47,449,392,502,369,346,499,501,399,500,69,447,377,507,576,453,577,543,105,572,320,43,309,282,575,294,85,73,474,480,510,321,551,496,440,439,93,359,445,604,483,348,56,611,415,306,404,355,442,312,291,482"
A05-02,"375,510,502,346,359,500,501,369,449,572,294,399,498,499,43,371,576,404,391,69,282,392,93,348,47,511,309,306,496,481,447,278,493,66,625,377,512"
A05-04,"47,501,346,369,392,449,502,85,375,500,499,498,63,447,415,572,391,359,496,399,294,511,618,62,620,453,510,69,604,372,43,56,60,439,312"
A05-05,"589,449,502,369,498,399,333,620,359,501,508,346,391,392,296,572,499,530,43,47,576,481,375,517"
A05-06,"369,502,499,501,377,498,510,359,449,375,346,500,572,399,392,391,496"
A05-09,"392,499,375,346,449,501,500,359,369,502,294,576,399,572,391,498,333,348,510"
A05-10,"501,369,449,502,346,572,500,392,359,499,375,294,47,576,498,371,399,510,496,481"
A05-14,"346,47,447,449,498,496,500,499,502,392,294,622,510,85,359,63,501,493,391,399,282,444,312,306,355,572,440"
A05-15,"369,392,501,500,346,359,502,51,449,499,375,498,47,371,543,93,327,508,404,391,87,296,561,572,43,325,271,486,306,15,265,24,333,102,348,399,493,92,294"
A05-17,"439,416,47,447,391,392,73,440,499,500,502,369,377,359,43,501,498,346,105,449,371,375,306,625,348,496,294,620,85,66,415,321,274,60,62,63,372,282,69,309,572,669,357,399,279,271,543,611,618,508"
A05-18,"554,60,496,618,63,523,392,56,530,447,439,372,449,346,312,393,531,528"
