中文名,學名,英文名,科名
樹鴨,Dendrocygna javanica,Lesser Whistling-Duck,雁鴨科 Anatidae
灰雁,Anser anser,Graylag Goose,雁鴨科 Anatidae
鴻雁,Anser cygnoides,Swan Goose,雁鴨科 Anatidae
白額雁,Anser albifrons,Greater White-fronted Goose,雁鴨科 Anatidae
小白額雁,Anser erythropus,Lesser White-fronted Goose,雁鴨科 Anatidae
寒林豆雁,Anser fabalis,Taiga Bean-Goose,雁鴨科 Anatidae
凍原豆雁,Anser serrirostris,Tundra Bean-Goose,雁鴨科 Anatidae
黑雁,Branta bernicla,Brant,雁鴨科 Anatidae
疣鼻天鵝,Cygnus olor,Mute Swan,雁鴨科 Anatidae
小天鵝,Cygnus columbianus,Tundra Swan,雁鴨科 Anatidae
黃嘴天鵝,Cygnus cygnus,Whooper Swan,雁鴨科 Anatidae
瀆鳧,Tadorna ferruginea,Ruddy Shelduck,雁鴨科 Anatidae
花鳧,Tadorna tadorna,Common Shelduck,雁鴨科 Anatidae
棉鴨,Nettapus coromandelianus,Cotton Pygmy-Goose,雁鴨科 Anatidae
鴛鴦,Aix galericulata,Mandarin Duck,雁鴨科 Anatidae
巴鴨,Sibirionetta formosa,Baikal Teal,雁鴨科 Anatidae
白眉鴨,Spatula querquedula,Garganey,雁鴨科 Anatidae
琵嘴鴨,Spatula clypeata,Northern Shoveler,雁鴨科 Anatidae
赤膀鴨,Mareca strepera,Gadwall,雁鴨科 Anatidae
羅文鴨,Mareca falcata,Falcated Duck,雁鴨科 Anatidae
赤頸鴨,Mareca penelope,Eurasian Wigeon,雁鴨科 Anatidae
葡萄胸鴨,Mareca americana,American Wigeon,雁鴨科 Anatidae
呂宋鴨,Anas luzonica,Philippine Duck,雁鴨科 Anatidae
花嘴鴨,Anas zonorhyncha,Eastern Spot-billed Duck,雁鴨科 Anatidae
綠頭鴨,Anas platyrhynchos,Mallard,雁鴨科 Anatidae
尖尾鴨,Anas acuta,Northern Pintail,雁鴨科 Anatidae
小水鴨,Anas crecca,Green-winged Teal,雁鴨科 Anatidae
赤嘴潛鴨,Netta rufina,Red-crested Pochard,雁鴨科 Anatidae
帆背潛鴨,Aythya valisineria,Canvasback,雁鴨科 Anatidae
紅頭潛鴨,Aythya ferina,Common Pochard,雁鴨科 Anatidae
環頸潛鴨,Aythya collaris,Ring-necked Duck,雁鴨科 Anatidae
白眼潛鴨,Aythya nyroca,Ferruginous Duck,雁鴨科 Anatidae
青頭潛鴨,Aythya baeri,Baer's Pochard,雁鴨科 Anatidae
鳳頭潛鴨,Aythya fuligula,Tufted Duck,雁鴨科 Anatidae
斑背潛鴨,Aythya marila,Greater Scaup,雁鴨科 Anatidae
小斑背潛鴨,Aythya affinis,Lesser Scaup,雁鴨科 Anatidae
長尾鴨,Clangula hyemalis,Long-tailed Duck,雁鴨科 Anatidae
鵲鴨,Bucephala clangula,Common Goldeneye,雁鴨科 Anatidae
白秋沙,Mergellus albellus,Smew,雁鴨科 Anatidae
川秋沙,Mergus merganser,Common Merganser,雁鴨科 Anatidae
紅胸秋沙,Mergus serrator,Red-breasted Merganser,雁鴨科 Anatidae
唐秋沙,Mergus squamatus,Scaly-sided Merganser,雁鴨科 Anatidae
台灣山鷓鴣,Arborophila crudigularis,Taiwan Partridge,雉科 Phasianidae
藍孔雀,Pavo cristatus,Indian Peafowl,雉科 Phasianidae
小鵪鶉,Synoicus chinensis,Blue-breasted Quail,雉科 Phasianidae
鵪鶉,Coturnix japonica,Japanese Quail,雉科 Phasianidae
台灣竹雞,Bambusicola sonorivox,Taiwan Bamboo-Partridge,雉科 Phasianidae
黑長尾雉,Syrmaticus mikado,Mikado Pheasant,雉科 Phasianidae
環頸雉,Phasianus colchicus,Ring-necked Pheasant,雉科 Phasianidae
藍腹鷴,Lophura swinhoii,Swinhoe's Pheasant,雉科 Phasianidae
小鸊鷉,Tachybaptus ruficollis,Little Grebe,鸊鷉科 Podicipedidae
角鸊鷉,Podiceps auritus,Horned Grebe,鸊鷉科 Podicipedidae
赤頸鸊鷉,Podiceps grisegena,Red-necked Grebe,鸊鷉科 Podicipedidae
冠鸊鷉,Podiceps cristatus,Great Crested Grebe,鸊鷉科 Podicipedidae
黑頸鸊鷉,Podiceps nigricollis,Eared Grebe,鸊鷉科 Podicipedidae
野鴿,Columba livia,Rock Pigeon,鳩鴿科 Columbidae
灰林鴿,Columba pulchricollis,Ashy Wood-Pigeon,鳩鴿科 Columbidae
黑林鴿,Columba janthina,Japanese Wood-Pigeon,鳩鴿科 Columbidae
白喉林鴿,Columba vitiensis,Metallic Pigeon ,鳩鴿科 Columbidae
金背鳩,Streptopelia orientalis,Oriental Turtle-Dove,鳩鴿科 Columbidae
灰斑鳩,Streptopelia decaocto,Eurasian Collared-Dove,鳩鴿科 Columbidae
紅鳩,Streptopelia tranquebarica,Red Collared-Dove,鳩鴿科 Columbidae
珠頸斑鳩,Streptopelia chinensis,Spotted Dove,鳩鴿科 Columbidae
斑尾鵑鳩,Macropygia unchall,Barred Cuckoo-Dove,鳩鴿科 Columbidae
長尾鳩,Macropygia tenuirostris,Philippine Cuckoo-Dove,鳩鴿科 Columbidae
翠翼鳩,Chalcophaps indica,Asian Emerald Dove,鳩鴿科 Columbidae
橙胸綠鳩,Treron bicinctus,Orange-breasted Green-Pigeon,鳩鴿科 Columbidae
厚嘴綠鳩,Treron curvirostra,Thick-billed Green-Pigeon,鳩鴿科 Columbidae
